question,answer,answer_start,is_impossible,context
What are the measures to reduce transmission of the disease?,"masks, hand hygiene practices, avoidance of public contact, case detection, contact tracing, and quarantines",1652,FALSE,"BACKGROUND: The coronavirus disease (COVID-19) has been identified as the cause of an outbreak of respiratory illness in Wuhan, Hubei Province, China beginning in December 2019. As of 31 January 2020, this epidemic had spread to 19 countries with 11 791 confirmed cases, including 213 deaths. The World Health Organization has declared it a Public Health Emergency of International Concern. METHODS: A scoping review was conducted following the methodological framework suggested by Arksey and Oâ€™Malley. In this scoping review, 65 research articles published before 31 January 2020 were analyzed and discussed to better understand the epidemiology, causes, clinical diagnosis, prevention and control of this virus. The research domains, dates of publication, journal language, authorsâ€™ affiliations, and methodological characteristics were included in the analysis. All the findings and statements in this review regarding the outbreak are based on published information as listed in the references. RESULTS: Most of the publications were written using the English language (89.2%). The largest proportion of published articles were related to causes (38.5%) and a majority (67.7%) were published by Chinese scholars. Research articles initially focused on causes, but over time there was an increase of the articles related to prevention and control. Studies thus far have shown that the virusâ€™ origination is in connection to a seafood market in Wuhan, but specific animal associations have not been confirmed. Reported symptoms include fever, cough, fatigue, pneumonia, headache, diarrhea, hemoptysis, and dyspnea. Preventive measures such as masks, hand hygiene practices, avoidance of public contact, case detection, contact tracing, and quarantines have been discussed as ways to reduce transmission. To date, no specific antiviral treatment has proven effective; hence, infected people primarily rely on symptomatic treatment and supportive care. CONCLUSIONS: There has been a rapid surge in research in response to the outbreak of COVID-19. During this early period, published research primarily explored the epidemiology, causes, clinical manifestation and diagnosis, as well as prevention and control of the novel coronavirus. Although these studies are relevant to control the current public emergency, more high-quality research is needed to provide valid and reliable ways to manage this kind of public health emergency in both the short- and long-term."
What propoportion of the publications were written in English?,89.2%,1079,FALSE,"BACKGROUND: The coronavirus disease (COVID-19) has been identified as the cause of an outbreak of respiratory illness in Wuhan, Hubei Province, China beginning in December 2019. As of 31 January 2020, this epidemic had spread to 19 countries with 11 791 confirmed cases, including 213 deaths. The World Health Organization has declared it a Public Health Emergency of International Concern. METHODS: A scoping review was conducted following the methodological framework suggested by Arksey and Oâ€™Malley. In this scoping review, 65 research articles published before 31 January 2020 were analyzed and discussed to better understand the epidemiology, causes, clinical diagnosis, prevention and control of this virus. The research domains, dates of publication, journal language, authorsâ€™ affiliations, and methodological characteristics were included in the analysis. All the findings and statements in this review regarding the outbreak are based on published information as listed in the references. RESULTS: Most of the publications were written using the English language (89.2%). The largest proportion of published articles were related to causes (38.5%) and a majority (67.7%) were published by Chinese scholars. Research articles initially focused on causes, but over time there was an increase of the articles related to prevention and control. Studies thus far have shown that the virusâ€™ origination is in connection to a seafood market in Wuhan, but specific animal associations have not been confirmed. Reported symptoms include fever, cough, fatigue, pneumonia, headache, diarrhea, hemoptysis, and dyspnea. Preventive measures such as masks, hand hygiene practices, avoidance of public contact, case detection, contact tracing, and quarantines have been discussed as ways to reduce transmission. To date, no specific antiviral treatment has proven effective; hence, infected people primarily rely on symptomatic treatment and supportive care. CONCLUSIONS: There has been a rapid surge in research in response to the outbreak of COVID-19. During this early period, published research primarily explored the epidemiology, causes, clinical manifestation and diagnosis, as well as prevention and control of the novel coronavirus. Although these studies are relevant to control the current public emergency, more high-quality research is needed to provide valid and reliable ways to manage this kind of public health emergency in both the short- and long-term."
What demonstrates a high sensitivity in COVID-19 patients,Chest CT,125,FALSE,"A few reports have been published recently highlighting the role of chest computed tomography (CT) in diagnosis of COVID-19. Chest CT demonstrates a high sensitivity in patients with COVID-19. The CT imaging findings in COVID-19 are similar to features of other viral pneumonias and familiar to imagers.The speed of acquisition of CT and timely reporting by radiologists will help our ED colleagues to make a diagnosis of COVID-19 within minutes, not hours or days. Nevertheless, this outbreak raises important clinical questions relevant to radiological community."
What is the implication of SC and VEC?,reduce the total number of patients significantly,816,FALSE,"Background: Incidence in children was much less than in adults during the COVID-19 outbreak. Sports and entertainment events were canceled (VEC) in Japan for two weeks during 26 February â13 March. Most schools were closed (SC). Object: We construct a susceptibleâ infected ârecovered model using three age classes and estimate the basic reproduction number (R0) and protection level among children simultaneously. Then we simulate SC and VEC effects. Method: We used data of patients with symptoms in Japan during 14 January to assess SC and VEC introduction. Effects of SC and VEC were incorporated into the model through change in the contact pattern or frequencies among age classes. Results: Results suggest R0 as 2.86 [95%CI of 2.73, 2.97]. The protection level was estimated as 0.4 [0.2, 0.7]. SC and VEC can "
How many suspected cases would be without the establishment of Huo-Yan_,33700,868,FALSE,"Background: China adopted an unprecedented province-scale quarantine since January 23rd 2020, after the novel coronavirus (COVID-19) broke out in Wuhan in December 2019. Responding to the challenge of limited testing capacity, large-scale standardized and fully-automated laboratory (Huo-Yan) was built as an ad-hoc measure. There was so far no empirical data or mathematical model to reveal the impact of the testing capacity improvement since the quarantine. Methods: We integrated public data released by the Health Commission of Hubei Province and Huo-Yan Laboratory testing data into a novel differential model with non-linear transfer coefficients and competitive compartments, to evaluate the trends of suspected cases under different nucleic acid testing capacities. Results: Without the establishment of Huo-Yan, the suspected cases would increased by 47% to 33700, the corresponding cost of the quarantine would be doubled, and the turning point of the increment of suspected cases and the achievement of ""daily settlement"" (all daily new discovered suspected cases were diagnosed according to the nucleic acid testing results) would be delayed for a whole week and 11 days. If the Huo-Yan Laboratory could ran at its full capacity, the number of suspected cases could started to decrease at least a week earlier, the peak of suspected cases would be reduced by at least 44% and the quarantine cost could be reduced by more than 72%. Ideally, if a daily testing capacity of 10500 could achieved immediately after the Hubei lockdown, ""daily settlement"" for all suspected cases would be achieved immediately. Conclusions: Large-scale and standardized clinical testing platform with nucleic acid testing, high-throughput sequencing and immunoprotein assessment capabilities need to be implemented simultaneously in order to maximize the effect of quarantine and minimize the duration and cost. Such infrastructure like Huo-Yan, is of great significance for the early prevention and control of infectious diseases for both common times and emergencies."
When did China adopted a province-scale quarantine?,January 23rd 2020,75,FALSE,"Background: China adopted an unprecedented province-scale quarantine since January 23rd 2020, after the novel coronavirus (COVID-19) broke out in Wuhan in December 2019. Responding to the challenge of limited testing capacity, large-scale standardized and fully-automated laboratory (Huo-Yan) was built as an ad-hoc measure. There was so far no empirical data or mathematical model to reveal the impact of the testing capacity improvement since the quarantine. Methods: We integrated public data released by the Health Commission of Hubei Province and Huo-Yan Laboratory testing data into a novel differential model with non-linear transfer coefficients and competitive compartments, to evaluate the trends of suspected cases under different nucleic acid testing capacities. Results: Without the establishment of Huo-Yan, the suspected cases would increased by 47% to 33700, the corresponding cost of the quarantine would be doubled, and the turning point of the increment of suspected cases and the achievement of ""daily settlement"" (all daily new discovered suspected cases were diagnosed according to the nucleic acid testing results) would be delayed for a whole week and 11 days. If the Huo-Yan Laboratory could ran at its full capacity, the number of suspected cases could started to decrease at least a week earlier, the peak of suspected cases would be reduced by at least 44% and the quarantine cost could be reduced by more than 72%. Ideally, if a daily testing capacity of 10500 could achieved immediately after the Hubei lockdown, ""daily settlement"" for all suspected cases would be achieved immediately. Conclusions: Large-scale and standardized clinical testing platform with nucleic acid testing, high-throughput sequencing and immunoprotein assessment capabilities need to be implemented simultaneously in order to maximize the effect of quarantine and minimize the duration and cost. Such infrastructure like Huo-Yan, is of great significance for the early prevention and control of infectious diseases for both common times and emergencies."
Which acutely vulnerable group of people was left out in addressing the coronavirus outbreak risks?,the homeless,230,FALSE,"Abstract Background Homeless experts and some federal housing officials are sounding the alarm that the patchwork of government efforts to address the coronavirus outbreak risks leaving out one group of acutely vulnerable people: the homeless. In terms of isolation, it is too unclear what that looks like if you normally sleep on the streets. In this tough moment, when people should be turned away, not only it feels inhumane, but it is also a big public health risk, because where are they going to go? Method The studies were identified using large-sized newspapers with international circulation Results With more cities suspecting community transmission of the novel coronavirus, people who sleep in shelters or hunker down outside already have a lower life expectancy and often have underlying health conditions that put them at greater risk if they develop COVID-19 (Global News, 2020). These people face lack of sleep, malnutrition, and âextreme stress levels just to meet their daily needs, all of which weakens the immune system. Along with mental illness or substance abuse disorders, they are âincredibly vulnerable to this virus. Conclusions Health organizations are well aware of the risks involved in mental health. A large population of homeless people experience their pain and psychological distress intermittently. For low-income patients, the various borderline situations related to health/illness involve growing expectations regarding the basic needs. This is a serious concern when linked to the pandemic."
"What  measurement is essential to monitor, and delay the spread of SARS-CoV-2 to mitigate the consequences of the pandemic?",Rapid testing of a large number of subjects,66,FALSE,"Overcoming the COVID-19 crisis requires new ideas and strategies. Rapid testing of a large number of subjects is essential to monitor, and delay the spread of SARS-CoV-2 to mitigate the consequences of the pandemic. People not knowing that they are infected may not stay in quarantine and, thus, are a risk for infecting others. Unfortunately, the massive number of COVID-19 tests performed is challenging for both laboratories and the units that take the throat swab and have to communicate test results. Here, we present a secure tracking system (CTest) to report COVID-19 test results online as soon as they become available. The system can be integrated into the clinical workflow with very modest effort and avoids excessive load to telephone hotlines. With this open-source and browser-based online tracking system, we aim to minimize the time required to inform the tested person but also the test units, e.g. hospitals or the public healthcare system. Instead of personal calls, CTest updates the status of the test automatically when the test results are available. Test reports are published on a secured web-page enabling regular status checks also by patients not using smartphones with dedicated mobile apps which has some importance as smartphone usage diminishes with age. The source code, as well as further information to integrate CTest into the IT environment of other clinics or test-centres, are freely available from https://github.com/sysbio-bioinf/CTest under the Eclipse Public License v2.0 (EPL2)."
How do temperatures correlate with the number of daily confirmed cases?,negative correlations,1053,FALSE,"Identified in December 2019, the 2019-nCoV emerged in Wuhan, China, and its spread increased rapidly, with cases arising across Mainland China and several other countries. By January 2020, the potential risks imposed by 2019-nCoV in human health and economical activity were promptly highlighted. Considerable efforts have been devoted for understanding the transmission mechanisms aimed to pursue public policies oriented to mitigate the number of infected and deaths. An important question requiring some attention is the role of meteorological variables (e.g., temperature and humidity) in the 2019-nCoV transmission. Correlations between meteorological temperature and relative humidity with the number of daily confirmed cases were explored in this work for the epicenter city of Wuhan, China for the period from 29 January to March 6, 2020. Long-term trend of temperature and relative humidity was obtained with a 14-days adjacent-averaging filter, and lagged correlations of the number of daily confirmed cases were explored. The analysis showed negative correlations between temperatures with the number of daily confirmed cases. Maximum correlations were found for 6-day lagged temperatures, which is likely reflecting the incubation period of the virus. It was postulated that the indoor crowding effect is responsible of the high incidence of 2019-nCoV cases, where low absolute humidity and close human contact facilitate the transport of aerosol droplets."
What is the cause of the high incidence of 2019-nCoV cases?,indoor crowding effect,1291,FALSE,"Identified in December 2019, the 2019-nCoV emerged in Wuhan, China, and its spread increased rapidly, with cases arising across Mainland China and several other countries. By January 2020, the potential risks imposed by 2019-nCoV in human health and economical activity were promptly highlighted. Considerable efforts have been devoted for understanding the transmission mechanisms aimed to pursue public policies oriented to mitigate the number of infected and deaths. An important question requiring some attention is the role of meteorological variables (e.g., temperature and humidity) in the 2019-nCoV transmission. Correlations between meteorological temperature and relative humidity with the number of daily confirmed cases were explored in this work for the epicenter city of Wuhan, China for the period from 29 January to March 6, 2020. Long-term trend of temperature and relative humidity was obtained with a 14-days adjacent-averaging filter, and lagged correlations of the number of daily confirmed cases were explored. The analysis showed negative correlations between temperatures with the number of daily confirmed cases. Maximum correlations were found for 6-day lagged temperatures, which is likely reflecting the incubation period of the virus. It was postulated that the indoor crowding effect is responsible of the high incidence of 2019-nCoV cases, where low absolute humidity and close human contact facilitate the transport of aerosol droplets."
