,question,answer,answer_start,is_impossible,abstract,,,,,,,,,,,,,,,,,,,,,,
32364,What was the overall COVID-19 incidence rate in cells with confirmed cases?,"0.12 per 1,000",1178,FALSE,"Background: The outbreak of COVID-19 in China in early 2020 provides a rich data source for exploring the ecological determinants of this new infection, which may be of relevance elsewhere. Objectives: Assessing the spread of the COVID-19 across China, in relation to associations between cases and ecological factors including population density, temperature, solar radiation and precipitation. Methods: Open-access COVID-19 case data include 18,069 geo-located cases in China during January and February 2020, which were mapped onto a 0.25Â° latitude/longitude grid together with population and weather data (temperature, solar radiation and precipitation). Of 15,539 grid cells, 559 (3.6%) contained at least one case, and these were used to construct a Poisson regression model of cell-weeks. Weather parameters were taken for the preceding week given the established 5-7 day incubation period for COVID-19. The dependent variable in the Poisson model was incident cases per cell-week and exposure was cell population, allowing for clustering of cells over weeks, to give incidence rate ratios. Results: The overall COVID-19 incidence rate in cells with confirmed cases was 0.12 per 1,000. There was a single case in 113/559 (20.2%) of cells, while two grid cells recorded over 1,000 cases. Weekly means of maximum daily temperature varied from -28.0 to 30.1 Â°C, minimum daily temperature from -42.4 to 23.0 Â°C, maximum solar radiation from 0.04 to 2.74 MJm-2 and total precipitation from 0 to 72.6 mm. Adjusted incidence rate ratios suggested brighter, warmer and drier conditions were associated with lower incidence. Conclusion: Though not demonstrating cause and effect, there were appreciable associations between weather and COVID-19 incidence during the epidemic in China. This does not mean the pandemic will go away with summer weather but demonstrates the importance of using weather conditions in understanding and forecasting the spread of COVID-19.",,,,,,,,,,,,,,,,,,,,,,
32415,Where did the ongoing pandemic of the coronavirus disease 2019 (COVID-19) start in?,China,75,FALSE,"The ongoing pandemic of the coronavirus disease 2019 (COVID-19) started in China and devastated a vast majority of countries. In India, COVID-19 cases are steadily increasing since January 30, 2020, and the government-imposed lockdown across the country to curtail community transmission. COVID-19 forecasts have played an important role in capturing the probability of infection and the basic reproduction rate. In this study, we predicted some trajectories of trajectories associated with COVID-19 in the coming days in India using an Auto-regression integrated moving average model (ARIMA) and Richards model. By the end of April 2020, the incidence of new cases is predicted to be 5200 (95% CI: 4650 to 6002) through the ARIMA model versus be 6378 (95% CI: 4904 to 7851) Richard model. We estimated that there would be a total of 197 (95% CI: 118 to 277) deaths and drop down in the recovery rates will reach around 501 (95% CI: 245 to 758) by the end of April 2020. These estimates can help to strengthen the implementation of strategies to increase the health system capacity and enactment of social distancing measures all over India.",,,,,,,,,,,,,,,,,,,,,,
32856,What can the newly identified SARS-CoV2 can cause?,serious acute respiratory infections such as pneumonia,55,FALSE,"Introduction: The newly identified SARS-CoV2 can cause serious acute respiratory infections such as pneumonia with a mortality rate of approximately 2% to 4%. In the current context of high incidence rates of SARS-CoV2 in the community, a significant increase in the rate of nosocomial transmission is expected. The risk of nosocomial transmission could even be higher in low-income countries that have fragile healthcare systems. This protocol is intended to study and document suspected or confirmed cases of nosocomial SARS-CoV2 infection, the clinical spectrum and the determinants (risk factors/protective) at participating hospitals. Methods and analysis: This will be an international multicentre prospective, observational, hospital-based study in adults and children. It will include volunteer patients, care givers and healthcare professionals in France and hospitals affiliated with the GABRIEL network. Demographic and clinical data will be collected using case-report forms designed especially for the purpose of the project. A nasopharyngeal swab will be collected and tested for SARS-CoV2 by RT-PCR. Characteristics of the study participants, the proportion of confirmed nosocomial SARS-CoV2 infections relative to all patients with syndromes suggestive of 2019-nCoV infection will be analysed. Appropriate multivariate modelling will be used to identify the determinants associated with nosocomial onset. Ethics and dissemination: This study was approved by the clinical research and committee of Ile de France V on March 8, 2020. Registration details: The trial was registered in ClinicalTrials (NCT04290780).",,,,,,,,,,,,,,,,,,,,,,
37786,When was the first case of COVID-19 in sub-Saharan Africa reported in Nigeria?,"On Feb 27, 2020",694,FALSE,"Despite major advances in epidemic preparedness, Africa remains uniquely susceptible to novel coronavirus disease 2019 (COVID-19). According to the Infectious Disease Vulnerability Index,1 22 of the 25 countries most susceptible to an infectious disease outbreak are in Africa. The high prevalence of HIV, tuberculosis, and other pathogens might potentiate the severity of COVID-19 and contribute to diagnostic uncertainty. Health-care systems and human resources are already spread thin. And although the young age of the population (with more than half aged younger than 20 years) might prove protective, it also means that Africa has much to lose in terms of disability-adjusted life years. On Feb 27, 2020, the first case of COVID-19 in sub-Saharan Africa was reported in Nigeria, making spread in the region more probable.2 While preparing a response to COVID-19 outbreak in Uganda, we read Jinnong Zhang and colleagues' work with great interest.3 We commend the authors for distilling complex information regarding triage and clinical care for patients who have a novel pathogen, for which there is little evidence, into a succinct flowchart. Unfortunately, many aspects of their algorithm would not be feasible in our setting. Chest CT, complete blood counts with differential, and C-reactive protein are all central to their algorithm, and none are routinely available in Uganda.",,,,,,,,,,,,,,,,,,,,,,
32305,What were inversely associated with the incidence rate of Covid-19?,"temperature, humidity, and wind speed",344,FALSE,"In absence of empirical research data, there has been considerable speculative hypothesis on the relationship between climatic factors (such as temperature and humidity) and the incidence of Covid-19. This study analyzed the data from 310 regions across 116 countries that reported confirmed cases of Covid-19 by March 12, 2020, and found that temperature, humidity, and wind speed were inversely associated with the incidence rate of Covid-19 after adjusting for the regional and temporal trend in the incidence of Covid-19, columnar density of ozone, precipitation probability, sea-level air-pressure, and length of daytime.",,,,,,,,,,,,,,,,,,,,,,
31408,What does more evidence suggest recently?,a substantial fraction of the infected individuals with the novel coronavirus show little if any symptoms,489,FALSE,"Background: Since the first cluster of cases was identified in Wuhan City, China, in December, 2019, coronavirus disease 2019 (COVID-19) has rapidly spread across China, causing multiple introductions in 109 countries/territories/areas as of March 10th. Despite the scarcity of publicly available data, scientists around the world have made strides in estimating the magnitude of the epidemic, the basic reproduction number, and transmission patterns. Recently more evidence suggests that a substantial fraction of the infected individuals with the novel coronavirus show little if any symptoms, which suggest the need to reassess the transmission potential of this emerging disease. In this study, we derive estimates of the transmissibility and virulence of COVID-19 in Wuhan City, China, by reconstructing the underlying transmission dynamics using multiple data sources. Methods: We employ statistical methods and publicly available epidemiological datasets to jointly derive estimates of transmissibility and severity associated with the novel coronavirus. For this purpose, the daily series of laboratory-confirmed COVID-19 cases and deaths in Wuhan City and epidemiological data of Japanese evacuees from Wuhan City on board government-chartered flights were integrated into our analysis. Results: Our posterior estimates of basic reproduction number (R) in Wuhan City, China in 2019-2020 reached values as high as 5.20 (95%CrI: 5.04-5.47) and the enhanced public health intervention after January 23rd in 2020 was associated with a declined R at 0.58 (95%CrI: 0.51-0.64), with the total number of infections (i.e. cumulative infections) estimated at 1905526 (95%CrI: 1350283-2655936) in Wuhan City, raising the proportion of infected individuals to 19.1% (95%CrI: 13.5-26.6%). We also found that most recent crude infection fatality ratio (IFR) and time-delay adjusted IFR is estimated to be 0.04% (95% CrI: 0.03-0.06%) and 0.12% (95%CrI: 0.08-0.17%), which is several orders of magnitude smaller than the crude CFR estimated at 4.19% Conclusions: We have estimated key epidemiological parameters of the transmissibility and virulence of COVID-19 in Wuhan, China during January-February, 2020 using an ecological modelling approach. The power of our approach lies in the ability to infer epidemiological parameters with quantified uncertainty from partial observations collected by surveillance systems.",,,,,,,,,,,,,,,,,,,,,,
32475,What show a very sytable and very fitting conformational complex formation tendency with the Toll like receptor 3?,both the CTL and HTL MEVs models ,1826,FALSE,"AbstractThe 2019 novel coronavirus (COVID19 / Wuhan coronavirus), officially named as Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), is a positive-sense single-stranded RNA coronavirus. SARS-CoV-2 causes the contagious COVID19 disease also known as 2019-nCoV acute respiratory disease and has led to the ongoing 2019â€“20 pandemic COVID19 outbreak. The effective countermeasures against SARS-CoV-2 infection requires the design and development of specific and effective vaccine candidate. In the present study we have screened 38 CTL, 42 HTL and 12 B cell epitopes by utilizing different in silico tools. The screened epitopes were further validated for their binding with their respective HLA allele binders and TAP (Transporter associated with antigen processing) molecule by molecular docking. The screened epitopes were further utilized to design novel two multi-epitope vaccines (MEVs) composed of CTL, HTL and B cell epitopes overlaps with potential to elicit humoral as well as cellular immune response against SARS-CoV-2. To enhance the immune response for our vaccine design, truncated (residues 10-153) Onchocerca volvulus activation-associated secreted protein-1 (Ov-ASP-1) has been utilized as an adjuvant at N terminal of both the MEVs. Further molecular models for both the MEVs were prepared and validated for their stable molecular interaction with Toll-Like Receptor 3 (TLR 3). The codon-optimized cDNA of both the MEVs were further analyzed for their potential of high level of expression in Human cell line. The present study proposes in-silico validated design of two MEVs against SARS-CoV-2 to elicit humoral as well as cellular immune response.Graphical abstractThe designed CTL (Cytotoxic T lymphocyte) and HTL (Helper T lymphocyte) multi-epitope vaccine (MEV) against COVID19 infection. Both the CTL and HTL MEVs models show a very sytable and very fitting conformational complex formation tendency with the Toll like receptor 3. CTL and HTL MEVs: ribbon; Toll like receptor 3: gray cartoon; Adjuvant [truncated (residues 10-53). Onchocerca volvulus activation-associated secrete protein-1]: orange ribbon; Epitopes: cyan ribbons regions; 6xHis Tag: magenta ribbon region",,,,,,,,,,,,,,,,,,,,,,
33012,What has been approved as an emergency treatment for the coronavirus disease 2019 (COVID-19) in the United States and in Europe?,"the antimalarial drug, chloroquine",33,FALSE,"Objectives: In early April 2020, the antimalarial drug, chloroquine, has been approved as an emergency treatment for the coronavirus disease 2019 (COVID-19) in the United States and in Europe. Although infrequent, neuropsychiatric symptoms have been reported in patients who received chloroquine for the treatment of malaria or autoimmune diseases. In this study, we investigated these adverse events (AEs) using a large self-reporting database. Materials and Methods: We conducted a disproportionality analysis for the detection of neuropsychiatric AE signals associated with the use of chloroquine (or hydroxychloroquine), reported to FAERS database between the fourth quarter of 2012 and the fourth quarter of 2019. Adjusted reporting odds ratio (ROR) for the development of each of the neuropsychiatric AEs following the use of chloroquine was calculated using a multilevel model. Results: We included 2,389,474 AE cases, among which 520 cases developed neuropsychiatric AE following the use of chloroquine. Exposure to chloroquine was associated with a statistically significant high reporting of amnesia, delirium, hallucinations, depression, and loss of consciousness, (lower 95% confidence interval of the adjusted ROR > 1), although the degree of increase in their ROR was limited. There was no statistically significant high reporting of any other neuropsychiatric AE, including suicide, psychosis, confusion, and agitation. Conclusion: Current pharmacovigilance study results did not suggest any potential link between the use of chloroquine and an increased risk of suicide, psychosis, confusion, and agitation, which would be informative during the emergency use of chloroquine for the treatment of COVID-19.",,,,,,,,,,,,,,,,,,,,,,
31008,How long can darunavir/cobicistat suspensions compounded by pharmacists using as active ingredient a commercially available tablet can be stable for at least?,one week,997,FALSE,"Abstract The COVID-19 outbreak is now one of the most critical crises to manage for most of the national healthcare systems in the world. In the absence of authorised pharmacological treatments, many antiretrovirals, including darunavir/cobicistat fixed combination, were used off-label in the hospital wards as life-treating medicines for COVID-19 patients. Unfortunately, for most of them, the drug products available on the market are not designed to be administered by a nasogastric tube to inpatients of intensive care units. Therefore, their manipulation, even if it can strongly affect the product quality, is necessary for the preparation of suspension to meet patientsâ€™ need. In this situation, it is urgent to provide data and guidance to support hospital pharmacist and clinicians in their activity. The data in this article indicate that darunavir/cobicistat suspensions compounded by pharmacists using as active ingredient a commercially available tablet can be stable at least for one week.",,,,,,,,,,,,,,,,,,,,,,
48429,Who are thought to be susceptible to the virus?,Neonates,525,FALSE,"Since December, 2019, a pneumonia of unknown cause, which has clinical manifestations similar to severe acute respiratory syndrome,1,2 originated in Wuhan, China, and has rapidly spread across China and to at least 23 countries. By Feb 5, 2020, the number of laboratory-confirmed cases had exceeded 20 000, with more than 400 deaths. About 100 children were affected, with the youngest being 30 h after birth. A novel virus named 2019 novel coronavirus (2019-nCoV) was considered to be the causative agent of this pneumonia. Neonates are thought to be susceptible to the virus because their immune system is not well developed, which is of great concern to neonatal medical service providers. Paediatricians and neonatologists belonging to the National Clinical Research Center for Child Health and Disorders and Pediatric Committee of Medical Association of Chinese Peopleâ€™s Liberation Army have contributed to the control efforts in China. We aim to elicit a contingency plan for the 2019-nCoV outbreak in neonatal intensive care units (NICUs), mainly focused on diagnostic and discharge criteria, treatment, prevention, and control strategies",,,,,,,,,,,,,,,,,,,,,,
