id,question,answer,answer_start,is_impossible,abstract
32995,What is the approach used by Lombardy?,a patient-centered approach that relied on primary care physicians and hospital care,363,False,"Introduction Italy, which has been hard-hit by the COVID-19 pandemic, has an overriding national strategy, but its 21 regions have adapted their response based on the organization of their curative and public health services. In this paper, we compare outcomes for two northern Italian regions which had almost simultaneous initial outbreaks: Lombardy, which had a patient-centered approach that relied on primary care physicians and hospital care, and Veneto, which focused on community-based diagnosis and care. Methods We used numerator and denominator data from public Italian government sources to calculate reported rates of COVID-19 testing/1000, COVID-19 cases/100,000 overall and for health care workers (HCWs) and non-HCWs, deaths per 100,000, and the percent of cases admitted to hospitals and ICUs for February 24-April 1, 2020. Results As of April 1, 2020, Lombardy experienced 44,733 cases and 7,539 deaths; for Veneto, the corresponding values were 9,625 and 499. The cumulative case rate was 445/100,000 for Lombardy and 196/100,000 for Veneto, a 2.3-fold difference. Mortality rates were 7.5 times higher in Lombardy than in Veneto (75/100,000 and 10/100,000, respectively). Cumulative rates of testing were nearly twice as high in Veneto and were 2.7 times higher in the first week of the epidemic. In Lombardy, 51.5% of patients were admitted, including, 5.2% to intensive care units; for Veneto, the corresponding figures were 25.1% and 4.3%, respectively. HCWs account for 14.3% of all cases in Lombardy compared with 4.4% in Veneto. In Lombardy, the rate among HCWs was 19.1 times higher than in the general population (6,924 versus 362 per 100,000), while in Veneto it was 3.9 times higher (676 versus 172/100,000). Discussion The community-based approach in Veneto appears to be associated with substantially reduced rates of cases, hospitalizations, deaths, and infection in HCWs compared with the patient-centered approach in Lombardy. Our findings suggest that the impact of COVID-19 can be reduced through strong and aggressive public health efforts to confirm and isolate cases and contacts in a timely way and to minimize unnecessary contact between HCWs and cases through home-based testing and pro-active home follow-up."
31716,What is the receptor for COVID-19 and SARS to infect human hosts?,angiotensin-converting enzyme 2,251,False,"AbstractCoronavirus Disease 2019 (COVID-19) and severe acute respiratory syndrome (SARS)-related coronaviruses (e.g., 2019-nCoV and SARS-CoV) are phylogenetically distantly related, but both are capable of infecting human hosts via the same receptor, angiotensin-converting enzyme 2, and cause similar clinical and pathological features, suggesting their phenotypic convergence. Yet, the molecular basis that underlies their phenotypic convergence remains unknown. Here, we used a recently developed molecular phyloecological approach to examine the molecular basis leading to their phenotypic convergence. Our genome-level analyses show that the spike protein, which is responsible for receptor binding, has undergone significant Darwinian selection along the branches related to 2019-nCoV and SARS-CoV. Further examination shows an unusually high proportion of evolutionary convergent amino acid sites in the receptor binding domain (RBD) of the spike protein between COVID-19 and SARS-related CoV clades, leading to the phylogenetic uniting of their RBD protein sequences. In addition to the spike protein, we also find the evolutionary convergence of its partner protein, ORF3a, suggesting their possible co-evolutionary convergence. Our results demonstrate a strong adaptive evolutionary convergence between COVID-19 and SARS-related CoV, possibly facilitating their adaptation to similar or identical receptors. Finally, it should be noted that many observed bat SARS-like CoVs that have an evolutionary convergent RBD sequence with 2019-nCoV and SARS-CoV may be pre-adapted to human host receptor ACE2, and hence would be potential new coronavirus sources to infect humans in the future."
37386,What is the main reason for migrants to live in Hubei Province?,working or doing business,1213,False,"After the 2019 novel coronavirus (2019-nCoV) outbreak, we estimated the distribution and scale of more than 5 million migrants residing in Wuhan after they returned to their hometown communities in Hubei Province or other provinces at the end of 2019 by using the data from the 2013–2018 China Migrants Dynamic Survey (CMDS). We found that the distribution of Wuhan’s migrants is centred in Hubei Province (approximately 75%) at a provincial level, gradually decreasing in the surrounding provinces in layers, with obvious spatial characteristics of circle layers and echelons. The scale of Wuhan’s migrants, whose origins in Hubei Province give rise to a gradient reduction from east to west within the province, and account for 66% of Wuhan’s total migrants, are from the surrounding prefectural-level cities of Wuhan. The distribution comprises 94 districts and counties in Hubei Province, and the cumulative percentage of the top 30 districts and counties exceeds 80%. Wuhan’s migrants have a large proportion of middle-aged and high-risk individuals. Their social characteristics include nuclear family migration (84%), migration with families of 3–4 members (71%), a rural household registration (85%), and working or doing business (84%) as the main reason for migration. Using a quasi-experimental analysis framework, we found that the size of Wuhan’s migrants was highly correlated with the daily number of confirmed cases. Furthermore, we compared the epidemic situation in different regions and found that the number of confirmed cases in some provinces and cities in Hubei Province may be underestimated, while the epidemic situation in some regions has increased rapidly. The results are conducive to monitoring the epidemic prevention and control in various regions."
37386,How many districts and counties are comprised in the distribution?,94,848,False,"After the 2019 novel coronavirus (2019-nCoV) outbreak, we estimated the distribution and scale of more than 5 million migrants residing in Wuhan after they returned to their hometown communities in Hubei Province or other provinces at the end of 2019 by using the data from the 2013–2018 China Migrants Dynamic Survey (CMDS). We found that the distribution of Wuhan’s migrants is centred in Hubei Province (approximately 75%) at a provincial level, gradually decreasing in the surrounding provinces in layers, with obvious spatial characteristics of circle layers and echelons. The scale of Wuhan’s migrants, whose origins in Hubei Province give rise to a gradient reduction from east to west within the province, and account for 66% of Wuhan’s total migrants, are from the surrounding prefectural-level cities of Wuhan. The distribution comprises 94 districts and counties in Hubei Province, and the cumulative percentage of the top 30 districts and counties exceeds 80%. Wuhan’s migrants have a large proportion of middle-aged and high-risk individuals. Their social characteristics include nuclear family migration (84%), migration with families of 3–4 members (71%), a rural household registration (85%), and working or doing business (84%) as the main reason for migration. Using a quasi-experimental analysis framework, we found that the size of Wuhan’s migrants was highly correlated with the daily number of confirmed cases. Furthermore, we compared the epidemic situation in different regions and found that the number of confirmed cases in some provinces and cities in Hubei Province may be underestimated, while the epidemic situation in some regions has increased rapidly. The results are conducive to monitoring the epidemic prevention and control in various regions."
28901,At least how many health workers have been infected with coronavirus?,"2,629",1148,False,"Abstract Background : The fact that COVID-19 is transmissible from human to human and associated with high morbidity and potentially fatality can intensify the perception of personal danger. In addition, the foreseeable shortage of supplies and an increasing flow of suspected and real cases of COVID-19 contribute to the pressures and concerns of health professionals. Method : The studies were identified in well-known international journals found in two electronic databases: Scopus and Embase. The data were cross-checked with information from the main international newspapers. Results : Work-related stress is a potential cause of concern for health professionals. It has been associated with anxiety including multiple clinical activities, depression in the face of the coexistence of countless deaths, long work shifts with the most diverse unknowns and demands in the treatment with patients with COVID-19. Therefore, it is an important indicator of psychic exhaustion. Conclusions : As coronavirus cases increase and deaths surge in Italy, new figures show an ""enormous"" level of contagion among the country's medical personnel. At least 2,629 health workers have been infected with coronavirus since the outbreak onset in February, representing 8.3% of total cases. The percentage of infected health workers has almost doubled the number registered in China throughout the epidemic. Intensive care unit physicians are on their stress limit, especially when dealing with older patients and with death prospects. Doctors, not a relative, are inevitably the last people a dying COVID-19 patient will see."
33047,Where does the cluster of COVID-19 cases come from?,a single large homeless shelter in Boston,171,False,"The circumstances of homelessness create the potential for rapid transmission of SARS-CoV-2 in this vulnerable population. Upon observing a cluster of COVID-19 cases from a single large homeless shelter in Boston, Boston Health Care for the Homeless Program conducted symptom assessments and polymerase chain reaction (PCR) testing for SARS-CoV-2 among all guests residing at the shelter over a 2-day period. Of 408 participants, 147 (36.0%) were PCR-positive for SARS-CoV-2. COVID-positive individuals were more likely to be male (p<0.001) but did not differ significantly from COVID-negative individuals with respect to other demographic and clinical characteristics. Cough (7.5%), shortness of breath (1.4%), and fever (0.7%) were all uncommon among COVID-positive individuals. Our findings illustrate the rapidity with which COVID-19 can be widely transmitted in a homeless shelter setting and suggest that universal PCR testing, rather than a symptom triggered approach, may be a better strategy for identifying and mitigating COVID-19 among people experiencing homelessness."
33047,How many people in New York participate?,,,True,"The circumstances of homelessness create the potential for rapid transmission of SARS-CoV-2 in this vulnerable population. Upon observing a cluster of COVID-19 cases from a single large homeless shelter in Boston, Boston Health Care for the Homeless Program conducted symptom assessments and polymerase chain reaction (PCR) testing for SARS-CoV-2 among all guests residing at the shelter over a 2-day period. Of 408 participants, 147 (36.0%) were PCR-positive for SARS-CoV-2. COVID-positive individuals were more likely to be male (p<0.001) but did not differ significantly from COVID-negative individuals with respect to other demographic and clinical characteristics. Cough (7.5%), shortness of breath (1.4%), and fever (0.7%) were all uncommon among COVID-positive individuals. Our findings illustrate the rapidity with which COVID-19 can be widely transmitted in a homeless shelter setting and suggest that universal PCR testing, rather than a symptom triggered approach, may be a better strategy for identifying and mitigating COVID-19 among people experiencing homelessness."
31544,How does coronavirus transmit person-to-person?,through inhalation of respiratory droplets,85,False,"Purpose: The 2019 novel coronavirus(COVID-19) mainly transmitted by person-to-person through inhalation of respiratory droplets. We report the laboratory results of conjunctival PCR-tests and some clinical features of these patients in shenyang China. Design: This is a cross-sectional non-randomized study. Subjects: The study include 14 confirmly diagnosed cases, 16 suspected cases and some medical observed patients. Methods: All patients with diagnosed and suspected COVID-19 were admitted to a designated hospital in Shenyang,China. We collected conjunctival samples of these patients to do the laboratory tests by real time RT-PCR.Medical observed patients were enrolled if they had clinical symptoms. Then we analysed the PCR results and clinical data from eletronic medical records in order to find some relationships. Main Outcome Measures: Clinical condition and PCR results of conjunctival swabs compared with other specimens. Results: One of the identified case coverted from suspected case without typical clinical symptoms. Twenty-two medical observed cases were removed because none of them converted to identified cases.One of the suspected converted to identified case recently.The included cases in our study are imported cases with less underlying diseases and the severity of their infection was relatively moderate. All the conjunctival results of PCR-test were negative. Two cases had typical clinical symptoms but were finally confirmed by repeated pharynx swab tests. Conclusion: Conjunctiva may be a transmission way of COVID-19. And ocular conjunctival swabs in combination with PCR test could be a non-invasive,convenient and feasible diagnostic method for identifying the infection of COVID-19. Emphasis on the false-negative results is vital."
31298,How does coronavirus transmit person-to-person?,96.1%,677,False,"Abstract2019 Novel Coronavirus (2019-nCoV) is a virus identified as the cause of the outbreak of pneumonia first detected in Wuhan, China. Investigations on the transmissibility, severity, and other features associated with this virus are ongoing. Currently, there is no vaccine or therapeutic antibody to prevent the infection, and more time is required to develop an effective immune strategy against the pathogen. In contrast, specific inhibitors targeting the key protease involved in replication and proliferation of the virus are the most effective means to alleviate the epidemic. The main protease of SARS-CoV is essential for the life cycle of the virus, which showed 96.1% of similarity with the main proteaseof 2019-nCoV, is considered to be an attractive target for drug development. In this study, we have identified 4 small molecular drugs with high binding capacity with SARS-CoV main protease by high-throughput screening based on the 8,000 clinical drug libraries, all these drugs have been widely used in clinical applications with guaranteed safety, which may serve as promising candidates to treat the infection of 2019-nCoV."
31142,What has been used for forecasting the growth of new cases?,the exponential curve,337,False,"Abstract We forecast 1,000,000 COVID-19 cases outside of China by March 30, 2020 based on a heuristic and WHO situation reports. We do not model the COVID-19 pandemic; we model only the number of cases. The proposed heuristic is based on a simple observation that the plot of the given data is well approximated by an exponential curve. The exponential curve is used for forecasting the growth of new cases. It has been tested for the last situation report of the last day. Its accuracy has been 1.29% for the last day added and predicted by the 57 previous WHO situation reports (the date 18 March 2020). Prediction, forecast, pandemic, COVID-19, coronavirus, exponential growth curve parameter, heuristic, epidemiology, extrapolation, abductive reasoning, WHO situa- tion report."
